opt,rep,wall_time,cpu_utilization,mem_usage,net_usage,ver,index,net,scale
incl,0,0.4577549300156533,0,0,0,p2d2.optimizer,True,lan,1
incl,1,0.4289229909772984,0,0,0,p2d2.optimizer,True,lan,1
excl,0,0.429343091964256,0,0,0,p2d2.optimizer,True,lan,1
excl,1,0.426752588013187,0,0,0,p2d2.optimizer,True,lan,1
incl,0,4.738227627007291,0,0,0,p2d2.no_optimizer,True,lan,1
incl,1,5.278598571021576,0,0,0,p2d2.no_optimizer,True,lan,1
excl,0,4.576797602989245,0,0,0,p2d2.no_optimizer,True,lan,1
excl,1,3.8037560380180366,0,0,0,p2d2.no_optimizer,True,lan,1
incl,0,0.4283410889911465,0,0,0,p2d2.optimizer,False,lan,1
incl,1,0.4295103910262696,0,0,0,p2d2.optimizer,False,lan,1
excl,0,0.4281294890097342,0,0,0,p2d2.optimizer,False,lan,1
excl,1,0.6821632389910519,0,0,0,p2d2.optimizer,False,lan,1
incl,0,4.600262833992019,0,0,0,p2d2.no_optimizer,False,lan,1
incl,1,4.115806467016228,0,0,0,p2d2.no_optimizer,False,lan,1
excl,0,4.237913333985489,0,0,0,p2d2.no_optimizer,False,lan,1
excl,1,4.14737150905421,0,0,0,p2d2.no_optimizer,False,lan,1
incl,0,0.6894939490011893,0,0,0,p2d2.optimizer,True,wan,1
incl,1,0.4286570900003426,0,0,0,p2d2.optimizer,True,wan,1
excl,0,0.4305094929877668,0,0,0,p2d2.optimizer,True,wan,1
excl,1,0.4296532910084352,0,0,0,p2d2.optimizer,True,wan,1
incl,0,5.177486826025415,0,0,0,p2d2.no_optimizer,True,wan,1
incl,1,5.115088638965972,0,0,0,p2d2.no_optimizer,True,wan,1
excl,0,6.240414187021088,0,0,0,p2d2.no_optimizer,True,wan,1
excl,1,4.539443245041184,0,0,0,p2d2.no_optimizer,True,wan,1
incl,0,0.4276541880099103,0,0,0,p2d2.optimizer,False,wan,1
incl,1,0.4283072889666073,0,0,0,p2d2.optimizer,False,wan,1
excl,0,0.4274014880065806,0,0,0,p2d2.optimizer,False,wan,1
excl,1,0.4295300910016522,0,0,0,p2d2.optimizer,False,wan,1
incl,0,5.163026602007449,0,0,0,p2d2.no_optimizer,False,wan,1
incl,1,4.488567674008664,0,0,0,p2d2.no_optimizer,False,wan,1
excl,0,3.9623890499933614,0,0,0,p2d2.no_optimizer,False,wan,1
excl,1,4.280348185973708,0,0,0,p2d2.no_optimizer,False,wan,1
incl,0,0.4295338909723796,0,0,0,p2d2.optimizer,True,loc,1
incl,1,0.4289590900298208,0,0,0,p2d2.optimizer,True,loc,1
excl,0,0.4280524890054948,0,0,0,p2d2.optimizer,True,loc,1
excl,1,0.6960956569528207,0,0,0,p2d2.optimizer,True,loc,1
incl,0,4.707990574010182,0,0,0,p2d2.no_optimizer,True,loc,1
incl,1,4.301937713986263,0,0,0,p2d2.no_optimizer,True,loc,1
excl,0,4.138895488984417,0,0,0,p2d2.no_optimizer,True,loc,1
excl,1,4.179351444996428,0,0,0,p2d2.no_optimizer,True,loc,1
incl,0,0.4293999900110066,0,0,0,p2d2.optimizer,False,loc,1
incl,1,0.4268556860042736,0,0,0,p2d2.optimizer,False,loc,1
excl,0,0.507056997041218,0,0,0,p2d2.optimizer,False,loc,1
excl,1,0.4280208880081773,0,0,0,p2d2.optimizer,False,loc,1
incl,0,4.579968095000368,0,0,0,p2d2.no_optimizer,False,loc,1
incl,1,5.128484748012852,0,0,0,p2d2.no_optimizer,False,loc,1
excl,0,5.602456498018,0,0,0,p2d2.no_optimizer,False,loc,1
excl,1,6.785952624049969,0,0,0,p2d2.no_optimizer,False,loc,1
incl,0,0.7494863300235011,0,0,0,p2d2.optimizer,True,lan,10
incl,1,0.7337920080171898,0,0,0,p2d2.optimizer,True,lan,10
excl,0,0.4808673610095866,0,0,0,p2d2.optimizer,True,lan,10
excl,1,0.4799827589886263,0,0,0,p2d2.optimizer,True,lan,10
incl,0,37.5857962120208,0,0,0,p2d2.no_optimizer,True,lan,10
incl,1,34.68397059099516,0,0,0,p2d2.no_optimizer,True,lan,10
excl,0,38.61557994398754,0,0,0,p2d2.no_optimizer,True,lan,10
excl,1,36.963347340002656,0,0,0,p2d2.no_optimizer,True,lan,10
incl,0,0.4811986590502783,0,0,0,p2d2.optimizer,False,lan,10
incl,1,0.4825437610270455,0,0,0,p2d2.optimizer,False,lan,10
excl,0,0.4837528619682416,0,0,0,p2d2.optimizer,False,lan,10
excl,1,0.4798135570017621,0,0,0,p2d2.optimizer,False,lan,10
incl,0,35.98250805604039,0,0,0,p2d2.no_optimizer,False,lan,10
incl,1,39.0608587290044,0,0,0,p2d2.no_optimizer,False,lan,10
excl,0,37.25943272496807,0,0,0,p2d2.no_optimizer,False,lan,10
excl,1,36.01041128201177,0,0,0,p2d2.no_optimizer,False,lan,10
incl,0,0.7398849099990912,0,0,0,p2d2.optimizer,True,wan,10
incl,1,0.4815199570148252,0,0,0,p2d2.optimizer,True,wan,10
excl,0,0.4931654729880392,0,0,0,p2d2.optimizer,True,wan,10
excl,1,0.4812618569703772,0,0,0,p2d2.optimizer,True,wan,10
incl,0,39.23900834802771,0,0,0,p2d2.no_optimizer,True,wan,10
incl,1,36.53526172100101,0,0,0,p2d2.no_optimizer,True,wan,10
excl,0,37.435749811993446,0,0,0,p2d2.no_optimizer,True,wan,10
excl,1,38.13435622601537,0,0,0,p2d2.no_optimizer,True,wan,10
incl,0,0.4853868609643541,0,0,0,p2d2.optimizer,False,wan,10
incl,1,0.4835213580518029,0,0,0,p2d2.optimizer,False,wan,10
excl,0,0.4789106509997509,0,0,0,p2d2.optimizer,False,wan,10
excl,1,0.4834026579628698,0,0,0,p2d2.optimizer,False,wan,10
incl,0,38.11421325796982,0,0,0,p2d2.no_optimizer,False,wan,10
incl,1,39.05208719399525,0,0,0,p2d2.no_optimizer,False,wan,10
excl,0,37.826359437953215,0,0,0,p2d2.no_optimizer,False,wan,10
excl,1,41.6153933799942,0,0,0,p2d2.no_optimizer,False,wan,10
incl,0,0.5627586100017652,0,0,0,p2d2.optimizer,True,loc,10
incl,1,0.484478810976725,0,0,0,p2d2.optimizer,True,loc,10
excl,0,0.4953805250115692,0,0,0,p2d2.optimizer,True,loc,10
excl,1,0.480436306039337,0,0,0,p2d2.optimizer,True,loc,10
incl,0,38.60089137603063,0,0,0,p2d2.no_optimizer,True,loc,10
incl,1,38.04877947701607,0,0,0,p2d2.no_optimizer,True,loc,10
excl,0,37.21733342699008,0,0,0,p2d2.no_optimizer,True,loc,10
excl,1,37.35367629595567,0,0,0,p2d2.no_optimizer,True,loc,10
incl,0,0.4857933120219968,0,0,0,p2d2.optimizer,False,loc,10
incl,1,0.4838168100104667,0,0,0,p2d2.optimizer,False,loc,10
excl,0,0.4811311070225201,0,0,0,p2d2.optimizer,False,loc,10
excl,1,0.4824326079688035,0,0,0,p2d2.optimizer,False,loc,10
incl,0,32.19687809201423,0,0,0,p2d2.no_optimizer,False,loc,10
incl,1,39.09161548200064,0,0,0,p2d2.no_optimizer,False,loc,10
excl,0,37.68621680699289,0,0,0,p2d2.no_optimizer,False,loc,10
excl,1,32.030259375984315,0,0,0,p2d2.no_optimizer,False,loc,10
